id,KNN,CNN,LDA,NN,forest,SVM,xgboost,true
30871,1,1,1,1,1,1,1,4
20943,1,1,0,1,1,1,1,2
20451,1,1,0,1,1,0,1,2
46025,0,0,0,0,0,0,0,6
43408,1,1,1,1,1,1,1,5
36481,1,1,1,1,1,1,1,5
33499,1,1,1,1,1,1,1,5
11748,1,1,1,1,1,1,1,1
59466,1,1,1,1,1,1,1,8
51867,1,1,1,1,1,1,1,7
35992,1,1,1,1,1,1,1,5
51781,1,1,1,1,1,1,1,7
61347,1,1,1,1,1,1,1,8
16675,1,1,1,1,1,1,1,1
42669,1,1,1,1,1,1,1,5
29043,1,1,1,1,1,1,1,4
27599,0,1,0,0,0,0,0,3
30723,1,1,1,1,1,1,1,4
25187,1,1,0,1,1,1,1,2
12705,0,1,1,1,1,1,1,1
2510,1,1,1,1,1,1,1,1
15333,1,1,1,1,1,0,0,1
5285,1,1,1,1,1,1,1,1
37500,1,1,1,1,1,1,1,5
10347,0,0,1,0,0,0,0,1
20784,1,0,0,1,0,1,1,2
1619,0,0,0,0,0,0,0,0
42465,1,1,1,1,1,1,1,5
49912,1,1,1,1,1,1,1,7
5774,1,1,1,1,1,1,1,1
3423,1,1,1,1,1,1,1,1
51651,1,1,1,1,1,1,1,7
48207,1,1,1,1,1,1,1,6
28601,0,1,0,0,1,0,1,3
3179,1,0,1,1,0,1,0,1
46482,1,0,0,1,1,1,1,6
36147,1,1,1,1,1,1,1,5
26740,1,0,0,1,1,0,1,3
16611,1,1,1,1,1,1,1,1
28790,1,1,1,1,1,1,1,4
567,0,1,0,1,1,1,1,0
23124,0,1,0,0,1,0,1,2
60784,1,0,1,1,1,1,1,8
43454,1,1,1,1,1,1,1,5
47223,0,1,0,1,0,1,1,6
20508,1,1,0,0,1,1,1,2
4863,1,1,1,1,1,1,1,1
58969,1,1,1,1,1,1,1,8
56152,1,0,0,0,1,0,1,7
30964,1,1,1,1,1,1,1,4
22344,1,0,0,1,1,0,1,2
28252,0,0,0,0,0,0,0,3
15034,1,1,1,1,1,1,1,1
37565,0,1,0,1,0,1,0,5
17820,1,1,1,1,1,1,1,1
17870,1,1,0,0,1,0,1,1
50166,0,0,1,1,1,1,1,7
55694,1,1,1,1,1,1,1,7
53960,1,1,1,1,1,1,1,7
30649,1,1,1,1,1,1,1,4
15480,1,1,1,1,1,1,1,1
22401,0,0,0,0,0,0,0,2
48656,1,1,1,1,1,1,1,7
22439,0,0,0,0,1,1,1,2
51441,1,1,1,1,1,1,1,7
686,0,1,0,0,1,0,0,0
23579,0,1,0,1,1,1,1,2
16793,1,1,1,1,1,1,1,1
8505,1,0,1,1,1,1,1,1
24419,0,0,0,0,0,0,0,2
38986,1,1,1,1,1,1,1,5
15109,1,1,1,1,1,1,1,1
49424,1,1,1,1,1,1,1,7
11821,1,1,1,1,1,1,1,1
15222,1,1,1,1,1,1,1,1
56475,1,1,1,1,1,1,1,7
22531,0,1,0,0,0,0,0,2
18186,0,0,0,0,0,0,0,2
32358,1,1,1,1,1,1,1,5
35446,1,1,1,1,1,1,1,5
1199,0,0,0,0,0,0,0,0
43679,1,1,1,1,1,1,1,5
51298,1,1,1,1,1,1,1,7
48254,0,0,0,0,0,0,0,6
51780,1,1,1,1,1,1,1,7
55675,1,1,1,1,1,1,1,7
53769,1,1,1,1,1,1,1,7
27808,1,1,0,1,1,1,1,3
17112,0,0,0,0,0,0,0,1
22191,0,0,0,0,0,0,0,2
55815,1,1,1,1,1,1,1,7
2633,1,1,1,1,1,1,1,1
37450,1,1,1,1,1,1,1,5
15650,1,1,1,1,1,1,1,1
34058,1,1,1,1,1,1,1,5
19608,1,0,0,0,1,0,1,2
59653,1,1,1,1,1,1,1,8
54119,1,1,1,1,1,1,1,7
43956,1,1,1,1,1,1,1,5
25622,0,0,0,0,0,0,0,2
25309,0,1,0,0,1,0,0,2
9030,1,1,1,1,1,1,1,1
1147,0,1,1,1,1,1,1,0
43186,1,1,1,1,1,1,1,5
52239,1,1,1,1,1,1,1,7
34194,1,1,1,1,1,1,1,5
60566,1,1,1,1,1,1,1,8
46536,0,1,0,1,1,1,1,6
33727,1,1,1,1,1,1,1,5
34936,1,1,1,1,1,1,1,5
33650,1,1,1,1,1,1,1,5
21741,0,0,0,0,0,0,0,2
16668,1,0,1,1,1,1,1,1
42829,1,1,1,1,1,1,1,5
53343,1,1,1,1,1,1,1,7
20698,0,0,0,0,1,0,0,2
28851,0,1,1,1,0,1,1,4
12207,0,1,1,1,1,0,1,1
3450,1,0,1,0,0,0,0,1
47200,0,1,0,1,1,1,1,6
397,0,1,1,0,0,0,1,0
12253,1,0,1,1,1,1,1,1
29302,1,1,1,1,1,1,1,4
51504,1,1,1,1,1,1,1,7
28002,1,0,0,0,0,1,0,3
23823,1,1,0,0,1,1,0,2
45405,1,1,1,1,1,1,1,5
41265,1,1,1,1,1,1,1,5
14720,0,1,1,1,1,1,1,1
12507,1,1,1,1,1,1,1,1
48502,1,1,1,1,1,1,1,7
33220,1,1,1,1,1,1,1,5
37337,1,1,1,1,1,1,1,5
41822,1,1,1,1,1,1,1,5
47508,0,0,0,0,0,0,0,6
18625,0,0,0,1,0,0,1,2
18216,0,1,0,1,1,1,1,2
11839,1,1,1,1,1,1,1,1
16219,1,1,1,1,1,1,1,1
2882,0,1,1,0,0,0,0,1
59943,1,1,1,1,1,1,1,8
59178,1,1,1,1,1,1,1,8
18244,1,1,0,0,0,0,0,2
4236,0,0,1,1,1,1,1,1
9902,0,1,1,1,0,0,0,1
39016,1,1,1,1,1,1,1,5
2907,0,1,1,1,1,0,1,1
29800,1,1,1,1,1,1,1,4
53912,1,1,1,1,1,1,1,7
14913,1,1,1,1,1,1,1,1
19700,1,0,0,1,1,1,1,2
59248,1,1,1,1,1,1,1,8
3986,0,1,1,1,1,1,1,1
26853,0,0,0,0,0,0,0,3
47522,0,0,0,0,0,0,0,6
21376,1,1,0,1,1,0,1,2
17953,1,1,1,1,1,1,1,1
60129,1,1,1,1,1,1,1,8
41246,1,1,1,1,1,1,1,5
12119,1,1,1,1,1,1,1,1
58259,1,1,1,1,1,1,1,8
6383,1,1,1,0,1,1,1,1
36007,1,1,1,1,1,1,1,5
36192,1,1,1,1,1,1,1,5
58206,1,0,1,1,0,1,0,8
33206,1,1,1,1,1,1,1,5
824,0,1,0,1,0,1,1,0
47742,1,0,0,0,1,0,0,6
55391,1,1,1,1,1,1,1,7
40021,1,1,1,1,1,1,1,5
32570,1,1,1,1,1,0,1,5
31951,1,1,1,1,1,1,1,5
4747,1,1,1,1,1,1,1,1
54932,1,1,1,1,1,1,1,7
36934,1,1,0,1,0,1,1,5
4050,1,1,0,1,1,1,1,1
19848,1,1,0,0,1,1,1,2
58511,1,1,1,1,1,1,1,8
28939,1,1,1,1,1,1,1,4
48148,0,0,0,0,0,0,0,6
47774,1,0,0,1,1,1,1,6
60115,1,1,1,1,1,1,1,8
53456,1,1,1,1,1,1,1,7
15862,0,1,1,1,1,1,0,1
50174,0,0,0,0,0,0,0,7
53239,1,1,1,1,1,1,1,7
47023,0,0,0,0,0,0,0,6
8287,1,1,1,1,1,1,1,1
13239,1,1,1,1,1,1,1,1
6768,1,1,1,1,1,1,1,1
42386,1,1,1,1,1,1,1,5
6566,1,1,1,1,1,1,1,1
16387,1,0,1,1,1,1,1,1
24571,0,0,0,0,1,0,1,2
29934,1,1,1,1,1,1,1,4
34121,1,1,1,1,1,1,1,5
60844,1,1,1,1,1,1,1,8
50319,1,1,1,1,1,1,1,7
855,0,0,0,0,0,0,0,0
52306,1,1,1,1,1,1,1,7
41873,1,1,1,1,1,1,1,5
56999,1,1,1,1,1,1,1,8
53194,1,1,1,1,1,1,1,7
27600,1,1,0,1,1,1,1,3
15628,1,0,1,0,0,1,0,1
24586,1,1,0,1,1,0,1,2
16215,1,1,1,1,1,1,1,1
57198,1,1,1,1,1,1,1,8
46866,1,1,1,1,1,1,1,6
21417,1,1,0,1,1,1,1,2
19460,0,0,0,1,0,0,0,2
36205,1,1,1,1,1,1,1,5
57598,1,1,1,1,1,1,1,8
50713,1,1,1,1,1,1,1,7
24258,1,0,0,1,0,1,0,2
35083,1,1,1,1,1,1,1,5
40296,1,1,1,1,1,1,1,5
44536,1,1,1,1,1,1,1,5
3419,1,1,1,1,1,1,1,1
944,0,0,0,0,0,0,0,0
55081,1,1,1,1,1,1,1,7
34486,1,1,1,1,1,1,1,5
13610,1,1,1,0,1,1,1,1
17070,1,1,1,1,1,1,1,1
18270,1,1,0,1,1,0,1,2
22231,0,0,0,0,0,0,0,2
32120,1,1,1,1,1,1,1,5
51482,1,1,1,1,1,1,1,7
51304,1,1,1,1,1,1,1,7
13399,1,1,1,1,1,1,1,1
17977,1,0,1,1,1,1,1,1
23894,0,1,0,1,1,1,0,2
58661,1,1,1,1,0,0,1,8
11706,0,0,1,0,0,0,0,1
19340,1,1,0,1,1,1,1,2
35675,1,1,1,1,1,1,1,5
21138,1,0,0,1,0,0,1,2
32396,1,1,1,1,1,1,1,5
44677,1,1,1,1,1,1,1,5
55973,1,1,1,1,1,1,1,7
57982,1,1,1,1,1,1,1,8
44436,1,1,1,1,1,1,0,5
17454,1,1,1,0,1,1,1,1
39754,1,1,1,1,1,1,1,5
32500,1,1,1,1,1,1,1,5
61177,1,0,1,1,1,1,1,8
24218,1,1,0,1,1,1,1,2
37273,1,1,1,1,1,1,1,5
28372,0,0,0,1,1,1,1,3
45210,1,1,1,1,1,1,1,5
46455,1,1,1,0,1,1,1,6
18312,0,0,0,0,0,0,0,2
5548,1,0,1,1,1,1,1,1
2924,0,1,1,0,1,1,1,1
14484,1,0,1,0,1,0,0,1
43505,1,1,1,1,1,1,1,5
1735,1,0,0,1,0,1,1,0
55046,1,1,1,1,1,1,1,7
59493,1,1,0,1,1,1,1,8
6344,1,1,1,1,1,1,1,1
23044,1,1,0,1,1,0,1,2
46635,0,1,0,0,0,1,1,6
2109,1,0,1,1,1,1,0,1
27954,1,1,0,1,1,1,1,3
25256,0,1,0,0,0,0,0,2
47112,1,1,0,1,1,1,1,6
49548,1,0,1,1,1,1,1,7
36021,1,1,1,1,1,1,1,5
2562,1,1,1,1,1,1,1,1
11390,0,1,1,1,0,0,0,1
17224,1,1,1,1,1,1,1,1
25508,0,0,0,0,0,0,0,2
11680,0,1,1,1,1,1,1,1
4220,1,1,1,1,1,1,1,1
20533,1,1,0,0,0,0,0,2
29256,1,1,1,1,1,1,1,4
58297,1,1,1,1,1,1,1,8
17138,1,1,1,1,1,1,1,1
21100,1,1,0,1,1,1,1,2
7006,1,1,1,1,1,1,1,1
53080,1,1,1,1,1,1,1,7
45502,0,0,0,0,0,0,0,5
47356,1,1,1,1,1,1,1,6
29009,0,0,0,0,0,0,0,4
53121,1,1,1,1,1,1,1,7
16327,1,1,1,1,1,1,1,1
25624,1,1,0,1,1,1,1,2
8049,1,1,1,1,1,1,1,1
41588,1,1,1,1,1,1,1,5
33319,1,1,1,1,1,1,1,5
2367,1,1,1,1,1,1,1,1
38340,1,1,1,1,1,1,1,5
18627,0,0,0,0,0,1,0,2
22459,0,0,0,0,1,0,1,2
12849,1,1,1,1,1,1,1,1
1283,0,0,1,1,0,1,0,0
36584,1,1,1,1,1,1,1,5
36572,1,1,1,1,1,1,1,5
33667,1,1,1,1,1,1,1,5
24793,0,0,0,0,0,0,0,2
39382,1,1,1,1,1,1,1,5
58842,1,1,1,1,1,1,1,8
19959,1,1,0,1,1,1,1,2
3577,0,0,1,0,1,1,1,1
18241,0,1,0,0,1,1,1,2
57519,1,1,1,1,1,1,1,8
6899,1,1,1,1,0,1,1,1
43673,1,1,1,1,1,1,1,5
49101,1,1,1,1,1,1,1,7
42336,1,1,1,1,1,1,1,5
14965,1,1,1,1,1,1,1,1
9525,1,0,1,1,1,1,0,1
10614,1,1,1,1,1,1,1,1
32605,1,1,1,1,1,1,1,5
8990,1,1,1,1,1,1,1,1
57150,1,1,1,1,1,1,1,8
10368,0,1,1,1,1,0,1,1
59861,1,1,1,1,1,1,1,8
53493,0,0,0,0,0,0,0,7
33214,1,1,1,1,1,1,1,5
52271,1,1,1,1,1,1,1,7
4263,1,1,1,1,1,1,1,1
37930,1,1,1,1,1,1,1,5
36400,1,1,1,1,1,1,1,5
38855,1,1,1,1,1,1,1,5
17582,0,1,1,1,1,1,1,1
43065,1,1,1,1,1,1,1,5
30561,1,1,1,1,1,1,1,4
13793,0,1,1,1,1,1,1,1
61774,1,1,1,1,1,1,1,8
19850,1,1,0,1,1,1,1,2
52796,1,1,1,1,1,1,1,7
26340,0,1,0,0,0,0,0,3
15309,0,1,1,0,0,0,0,1
22862,0,1,0,0,1,0,0,2
32348,1,1,1,1,1,1,1,5
44906,1,1,1,1,1,1,1,5
12037,1,1,1,1,1,1,1,1
21887,1,0,0,0,0,1,0,2
26198,1,1,0,1,1,1,1,3
17821,1,1,1,1,1,0,1,1
44113,1,1,1,1,1,1,1,5
35158,1,1,1,1,1,1,1,5
28151,1,0,0,1,1,1,0,3
60724,1,1,1,1,1,1,1,8
28243,0,0,0,0,0,0,0,3
23820,0,0,0,0,0,0,0,2
15969,1,1,1,1,1,1,1,1
13155,1,1,1,1,1,1,1,1
35519,1,1,1,1,1,1,1,5
13894,1,1,1,1,1,1,1,1
55372,1,1,1,1,1,1,1,7
24035,1,0,0,1,1,1,1,2
35311,1,0,1,1,1,1,1,5
59234,1,1,1,1,1,1,1,8
43579,1,1,1,1,1,1,1,5
56556,1,1,1,1,1,1,1,7
9987,0,0,1,1,1,0,0,1
47437,0,0,0,0,0,0,0,6
16335,1,1,1,1,1,1,1,1
23660,0,0,0,1,1,1,1,2
799,0,0,0,0,1,0,0,0
4531,1,1,1,1,1,1,1,1
16184,0,1,1,1,1,1,1,1
28044,0,1,0,0,0,0,1,3
16178,1,1,1,1,1,1,1,1
37255,1,1,1,1,1,1,1,5
14728,0,1,1,1,1,1,0,1
49280,0,1,0,1,1,1,1,7
26351,0,0,0,1,1,0,1,3
2867,0,1,1,0,1,0,1,1
55157,0,1,1,1,1,0,1,7
34469,1,1,1,1,1,1,1,5
61245,1,1,1,1,1,1,1,8
50243,1,1,1,1,1,1,1,7
11797,1,1,1,1,1,1,1,1
58108,1,1,1,1,1,1,1,8
44156,1,1,1,1,1,1,1,5
95,1,1,0,0,0,0,1,0
16044,1,1,1,1,1,1,1,1
17147,1,1,1,1,1,1,1,1
36333,1,1,1,1,1,1,1,5
21343,0,0,0,0,0,0,0,2
5903,1,1,1,1,1,1,1,1
22136,0,0,0,0,0,0,0,2
33632,1,1,1,1,1,1,1,5
41891,1,1,1,1,1,1,1,5
24789,1,1,0,1,1,1,1,2
45451,1,1,1,1,1,1,1,5
19315,0,1,0,1,1,1,1,2
6834,1,0,1,1,1,1,1,1
51569,1,1,1,1,1,1,1,7
25473,0,0,0,0,1,1,1,2
54784,1,1,1,1,1,1,1,7
16627,0,1,1,1,1,1,1,1
34654,1,1,1,1,1,1,1,5
13655,0,1,1,1,1,0,0,1
51895,1,1,1,1,1,1,1,7
53003,1,1,1,1,1,1,1,7
56119,1,1,1,1,1,1,1,7
61270,0,1,1,1,1,1,1,8
4070,0,0,1,1,1,1,1,1
5315,1,1,1,0,1,1,1,1
17795,0,1,1,1,1,1,1,1
59580,1,1,1,1,1,1,1,8
39204,1,1,1,1,1,1,1,5
46702,0,0,0,1,1,1,1,6
40188,1,1,1,1,1,1,1,5
25898,0,1,0,0,1,0,1,2
38208,1,1,1,1,1,1,1,5
52039,1,1,1,1,1,1,1,7
8738,1,1,1,0,0,0,0,1
1065,0,0,0,0,0,0,0,0
47634,0,0,0,0,0,0,0,6
43395,1,1,1,1,1,1,1,5
39336,0,1,1,1,1,1,1,5
1815,1,0,1,1,1,1,1,0
8962,1,1,1,1,1,1,1,1
26069,1,1,0,1,1,1,1,3
50874,1,1,1,1,1,1,1,7
10035,0,0,1,0,0,0,0,1
60495,1,1,0,1,1,1,1,8
35362,1,1,1,1,1,1,1,5
26247,0,0,0,1,1,0,1,3
18837,0,0,0,1,0,1,0,2
61581,0,0,0,0,0,0,0,8
9108,1,1,1,1,1,1,1,1
49048,0,0,1,0,0,0,0,7
39821,1,1,1,1,1,1,1,5
46114,1,1,1,1,1,1,1,6
40546,1,1,1,1,1,1,1,5
22467,1,0,0,1,1,1,0,2
48051,1,0,0,0,0,0,0,6
47905,1,1,1,1,1,1,1,6
35160,1,1,1,1,1,1,1,5
45357,1,1,1,1,1,1,1,5
59891,1,1,1,1,1,1,1,8
34666,1,1,1,1,1,1,1,5
25516,1,1,0,1,1,1,1,2
23893,1,0,0,0,1,1,0,2
34174,1,0,0,1,1,1,1,5
49223,1,1,1,1,1,1,1,7
46149,1,1,1,1,1,1,1,6
1193,0,0,0,0,0,0,0,0
15960,0,0,1,1,0,1,0,1
26763,0,1,0,1,1,1,1,3
29607,1,1,1,1,1,1,1,4
19272,1,1,0,0,0,1,1,2
58957,1,1,1,1,1,1,1,8
48521,1,1,1,1,1,1,1,7
41438,1,1,1,1,1,1,1,5
908,0,1,0,0,0,0,0,0
22140,0,0,0,0,0,0,0,2
43603,0,1,1,1,1,0,1,5
8047,0,0,1,0,1,0,1,1
22174,0,0,0,0,0,0,0,2
32406,1,1,1,1,1,1,1,5
36081,0,0,0,0,0,0,0,5
6024,1,1,1,1,1,1,1,1
20631,1,1,0,1,0,0,0,2
56740,1,1,1,1,1,1,1,7
25294,0,0,0,0,0,1,0,2
13407,1,1,1,1,1,1,0,1
51427,1,1,1,1,1,1,1,7
10451,1,1,1,1,1,1,1,1
41965,1,1,1,1,1,1,1,5
23857,0,0,0,0,0,0,0,2
13634,1,1,1,1,1,1,1,1
55976,1,1,1,1,1,1,1,7
28509,0,0,0,0,0,0,0,3
40486,1,1,1,1,1,1,1,5
45847,1,1,1,0,1,1,1,6
6740,1,1,1,1,1,0,1,1
53011,1,1,0,1,1,1,1,7
29698,1,1,1,1,1,1,1,4
61490,1,1,1,1,1,1,1,8
26257,1,0,0,1,1,0,0,3
5807,1,1,1,1,1,1,1,1
57062,1,1,1,1,1,1,1,8
10238,0,0,1,0,1,1,0,1
44597,1,1,1,1,1,1,1,5
24656,0,0,0,0,1,1,0,2
25710,0,1,0,1,1,0,1,2
3067,1,1,1,1,1,1,1,1
10455,1,1,1,1,1,1,1,1
30128,1,1,1,1,1,1,1,4
4324,1,1,1,1,1,1,1,1
20500,1,1,0,0,0,0,1,2
28638,1,0,0,1,1,1,1,3
53675,1,1,1,1,1,1,1,7
57522,1,1,1,1,1,1,0,8
26753,1,0,0,0,0,0,0,3
59875,1,1,1,1,1,1,1,8
22428,1,0,0,0,0,0,1,2
21203,1,1,0,0,1,1,1,2
30057,1,1,1,1,1,1,1,4
10332,1,1,1,1,1,1,1,1
22573,1,1,0,1,1,1,1,2
49011,1,1,1,1,1,1,1,7
17984,1,1,1,1,1,1,1,1
26409,1,0,0,1,1,1,1,3
55982,1,1,1,1,1,1,1,7
24616,1,1,0,0,1,1,1,2
15406,1,1,1,1,1,1,1,1
18821,1,1,0,0,1,1,1,2
35404,1,1,1,1,1,1,1,5
5377,1,1,1,1,1,1,1,1
2219,1,1,1,1,1,1,0,1
2355,1,1,1,1,1,1,1,1
7915,1,1,1,1,1,1,1,1
